GRE Score,TOEFL Score,University Rating,SOP,CGPA,class
337,118,4,4.5,9.65,0.92
324,107,4,4,8.87,0.76
316,104,3,3,8,0.72
322,110,3,3.5,8.67,0.8
314,103,2,2,8.21,0.65
330,115,5,4.5,9.34,0.9
321,109,3,3,8.2,0.75
308,101,2,3,7.9,0.68
302,102,1,2,8,0.5
323,108,3,3.5,8.6,0.45
325,106,3,3.5,8.4,0.52
327,111,4,4,9,0.84
328,112,4,4,9.1,0.78
307,109,3,4,8,0.62
311,104,3,3.5,8.2,0.61
314,105,3,3.5,8.3,0.54
317,107,3,4,8.7,0.66
319,106,3,4,8,0.65
318,110,3,4,8.8,0.63
303,102,3,3.5,8.5,0.62
312,107,3,3,7.9,0.64
325,114,4,3,8.4,0.7
328,116,5,5,9.5,0.94
334,119,5,5,9.7,0.95
336,119,5,4,9.8,0.97
340,120,5,4.5,9.6,0.94
322,109,5,4.5,8.8,0.76
298,98,2,1.5,7.5,0.44
295,93,1,2,7.2,0.46
310,99,2,1.5,7.3,0.54
300,97,2,3,8.1,0.65
327,103,3,4,8.3,0.74
338,118,4,3,9.4,0.91
340,114,5,4,9.6,0.9
331,112,5,4,9.8,0.94
320,110,5,5,9.2,0.88
299,106,2,4,8.4,0.64
300,105,1,1,7.8,0.58
304,105,1,3,7.5,0.52
307,108,2,4,7.7,0.48
308,110,3,3.5,8,0.46
316,105,2,2.5,8.2,0.49
313,107,2,2.5,8.5,0.53
332,117,4,4.5,9.1,0.87
326,113,5,4.5,9.4,0.91
322,110,5,5,9.1,0.88
329,114,5,4,9.3,0.86
339,119,5,4.5,9.7,0.89
321,110,3,3.5,8.85,0.82
327,111,4,3,8.4,0.78
313,98,3,2.5,8.3,0.76
312,100,2,1.5,7.9,0.56
334,116,4,4,8,0.78
324,112,4,4,8.1,0.72
322,110,3,3,8,0.7
320,103,3,3,7.7,0.64
316,102,3,2,7.4,0.64
298,99,2,4,7.6,0.46
300,99,1,3,6.8,0.36
311,104,2,2,8.3,0.42
309,100,2,3,8.1,0.48
307,101,3,4,8.2,0.47
304,105,2,3,8.2,0.54
315,107,2,4,8.5,0.56
325,111,3,3,8.7,0.52
325,112,4,3.5,8.92,0.55
327,114,3,3,9.02,0.61
316,107,2,3.5,8.64,0.57
318,109,3,3.5,9.22,0.68
328,115,4,4.5,9.16,0.78
332,118,5,5,9.64,0.94
336,112,5,5,9.76,0.96
321,111,5,5,9.45,0.93
314,108,4,4.5,9.04,0.84
314,106,3,3,8.9,0.74
