GRE Score,TOEFL Score,SOP,CGPA,Chance of Admit ,class
337,118,4.5,9.65,0.92,1
324,107,4,8.87,0.76,1
316,104,3,8,0.72,1
322,110,3.5,8.67,0.8,1
314,103,2,8.21,0.65,0
330,115,4.5,9.34,0.9,1
321,109,3,8.2,0.75,1
308,101,3,7.9,0.68,0
302,102,2,8,0.5,0
323,108,3.5,8.6,0.45,0
325,106,3.5,8.4,0.52,1
327,111,4,9,0.84,1
328,112,4,9.1,0.78,1
307,109,4,8,0.62,1
311,104,3.5,8.2,0.61,1
314,105,3.5,8.3,0.54,0
317,107,4,8.7,0.66,0
319,106,4,8,0.65,1
318,110,4,8.8,0.63,0
303,102,3.5,8.5,0.62,0
312,107,3,7.9,0.64,1
325,114,3,8.4,0.7,0
328,116,5,9.5,0.94,1
334,119,5,9.7,0.95,1
336,119,4,9.8,0.97,1
340,120,4.5,9.6,0.94,1
322,109,4.5,8.8,0.76,0
298,98,1.5,7.5,0.44,1
295,93,2,7.2,0.46,0
310,99,1.5,7.3,0.54,0
300,97,3,8.1,0.65,1
327,103,4,8.3,0.74,1
338,118,3,9.4,0.91,1
340,114,4,9.6,0.9,1
331,112,4,9.8,0.94,1
320,110,5,9.2,0.88,1
299,106,4,8.4,0.64,0
300,105,1,7.8,0.58,0
304,105,3,7.5,0.52,0
307,108,4,7.7,0.48,0
308,110,3.5,8,0.46,1
316,105,2.5,8.2,0.49,1
313,107,2.5,8.5,0.53,1
332,117,4.5,9.1,0.87,0
326,113,4.5,9.4,0.91,1
322,110,5,9.1,0.88,1
329,114,4,9.3,0.86,1
339,119,4.5,9.7,0.89,0
321,110,3.5,8.85,0.82,1
327,111,3,8.4,0.78,1
313,98,2.5,8.3,0.76,1
312,100,1.5,7.9,0.56,1
334,116,4,8,0.78,1
324,112,4,8.1,0.72,1
322,110,3,8,0.7,0
320,103,3,7.7,0.64,0
316,102,2,7.4,0.64,0
298,99,4,7.6,0.46,0
300,99,3,6.8,0.36,1
311,104,2,8.3,0.42,0
309,100,3,8.1,0.48,0
307,101,4,8.2,0.47,0
304,105,3,8.2,0.54,1
315,107,4,8.5,0.56,1
325,111,3,8.7,0.52,0
325,112,3.5,8.92,0.55,0
327,114,3,9.02,0.61,0
316,107,3.5,8.64,0.57,1
318,109,3.5,9.22,0.68,1
328,115,4.5,9.16,0.78,1
332,118,5,9.64,0.94,1
336,112,5,9.76,0.96,1
321,111,5,9.45,0.93,1
314,108,4.5,9.04,0.84,1
314,106,3,8.9,0.74,0
329,114,2,8.56,0.72,1
327,112,3,8.72,0.74,1
301,99,3,8.22,0.64,0
296,95,3,7.54,0.44,1
294,93,1.5,7.36,0.46,0
312,105,2,8.02,0.5,1
340,120,5,9.5,0.96,1
320,110,5,9.22,0.92,1
322,115,4,9.36,0.92,1
340,115,4.5,9.45,0.94,1
319,103,4.5,8.66,0.76,0
315,106,4.5,8.42,0.72,0
317,107,3.5,8.28,0.66,0
314,108,4.5,8.14,0.64,0
316,109,4.5,8.76,0.74,1
318,106,4,7.92,0.64,1
299,97,5,7.66,0.38,0
298,98,4,8.03,0.34,0
301,97,3,7.88,0.44,1
303,99,2,7.66,0.36,0
304,100,1.5,7.84,0.42,0
306,100,3,8,0.48,0
331,120,4,8.96,0.86,1
332,119,5,9.24,0.9,1
323,113,4,8.88,0.79,1
322,107,3.5,8.46,0.71,1
312,105,2.5,8.12,0.64,0
314,106,4,8.25,0.62,0
317,104,4.5,8.47,0.57,0
326,112,3.5,9.05,0.74,1
316,110,4,8.78,0.69,1
329,111,4.5,9.18,0.87,1
338,117,3.5,9.46,0.91,1
331,116,5,9.38,0.93,1
304,103,5,8.64,0.68,0
305,108,3,8.48,0.61,0
321,109,4,8.68,0.69,1
301,107,3.5,8.34,0.62,1
320,110,4,8.56,0.72,0
311,105,3.5,8.45,0.59,1
310,106,4.5,9.04,0.66,1
299,102,4,8.62,0.56,0
290,104,2,7.46,0.45,0
296,99,3,7.28,0.47,0
327,104,3,8.84,0.71,1
335,117,5,9.56,0.94,1
334,119,4.5,9.48,0.94,1
310,106,1.5,8.36,0.57,0
308,108,3.5,8.22,0.61,0
301,106,2.5,8.47,0.57,0
300,100,2,8.66,0.64,1
323,113,4,9.32,0.85,1
319,112,2.5,8.71,0.78,1
326,112,3.5,9.1,0.84,1
333,118,5,9.35,0.92,1
339,114,4,9.76,0.96,1
303,105,5,8.65,0.77,0
309,105,3.5,8.56,0.71,0
323,112,4,8.78,0.79,0
333,113,4,9.28,0.89,1
314,109,3.5,8.77,0.82,1
312,103,5,8.45,0.76,0
316,100,1.5,8.16,0.71,1
326,116,4.5,9.08,0.8,1
318,109,3.5,9.12,0.78,0
329,110,4,9.15,0.84,1
