Marital status,Application mode,Application order,Course,class,Previous qualification,Nacionality
1,8,5,2,1,1,1
1,6,1,11,1,1,1
1,1,5,5,1,1,1
1,8,2,15,1,1,1
2,12,1,3,0,1,1
2,12,1,17,0,12,1
1,1,1,12,1,1,1
1,9,4,11,1,1,1
1,1,3,10,1,1,15
1,1,1,10,1,1,1
1,1,1,14,1,1,1
1,1,1,12,1,1,1
1,1,2,16,1,1,1
1,17,1,11,1,16,1
1,1,1,6,1,1,1
1,1,1,15,1,1,1
1,9,1,10,1,1,1
1,8,2,12,1,1,1
1,1,1,8,1,1,1
1,1,1,16,1,1,1
1,1,3,2,1,1,1
1,9,4,13,1,1,1
1,1,4,12,1,1,1
1,1,4,14,1,1,1
1,1,1,12,1,1,1
1,1,1,10,1,1,1
1,8,2,10,1,1,1
1,1,1,6,1,1,1
1,1,1,9,1,1,1
1,8,2,12,1,1,1
1,15,1,4,1,14,1
1,16,1,5,1,1,1
1,1,1,9,1,1,1
1,9,1,3,0,1,1
1,1,1,17,0,1,1
1,12,1,1,1,1,1
1,12,1,7,1,8,1
1,14,1,9,1,1,1
4,12,1,17,0,1,1
1,15,1,8,1,14,3
1,1,5,15,1,1,1
1,1,2,9,1,1,1
1,1,6,12,1,1,1
1,8,1,15,1,1,1
1,12,1,17,0,1,1
1,8,1,17,0,1,1
1,8,2,10,1,1,1
1,8,6,12,1,1,1
1,15,1,3,0,14,1
1,1,1,10,1,1,1
1,12,1,11,1,1,1
1,1,1,12,1,1,1
1,1,1,15,1,1,1
1,1,3,8,1,1,1
1,12,1,17,0,1,1
1,1,1,12,1,1,1
2,4,1,11,1,3,1
1,12,1,8,1,15,1
1,8,1,12,1,1,1
1,1,3,2,1,1,1
1,1,2,12,1,1,1
1,15,1,10,1,14,1
1,8,3,2,1,1,1
1,8,1,5,1,1,1
1,14,1,5,1,1,1
4,13,1,12,1,12,1
1,1,3,2,1,1,1
1,15,1,4,1,14,1
1,1,3,9,1,1,1
1,12,1,11,1,1,1
1,8,1,9,1,1,1
1,8,1,12,1,1,1
1,1,1,2,1,1,1
1,8,4,11,1,1,1
1,1,2,15,1,1,1
1,8,3,9,1,1,1
1,9,4,11,1,1,1
1,8,4,15,1,1,1
1,8,4,12,1,1,1
2,12,1,3,0,1,1
1,1,6,16,1,1,1
1,12,1,17,0,2,1
1,12,1,4,1,4,1
1,8,1,11,1,1,1
2,12,1,3,0,1,1
1,13,1,12,1,1,1
1,12,1,14,1,1,1
1,8,1,5,1,1,1
1,1,6,9,1,1,1
1,14,2,7,1,1,1
1,12,1,12,1,1,1
1,8,2,15,1,1,14
1,6,1,8,1,1,14
2,12,1,16,1,8,1
2,12,1,3,0,1,1
1,6,1,7,1,1,12
1,1,5,15,1,1,1
1,1,5,12,1,1,1
1,1,1,6,1,1,1
1,1,4,12,1,1,1
1,17,1,6,1,16,1
1,1,4,2,1,1,1
2,12,1,3,0,1,1
4,12,1,4,1,9,1
1,9,1,16,1,1,1
1,16,1,5,1,1,1
1,1,2,10,1,1,1
1,1,1,6,1,1,1
1,1,5,12,1,1,1
1,8,2,16,1,1,1
1,1,1,10,1,1,1
1,8,2,9,1,1,1
1,1,1,6,1,1,1
1,1,3,15,1,1,1
1,8,2,12,1,1,1
1,14,1,12,1,1,1
1,8,1,10,1,1,1
1,8,1,9,1,1,1
1,1,2,6,1,1,1
1,1,1,9,1,1,1
1,8,1,11,1,1,1
1,1,2,9,1,1,1
1,1,1,2,1,1,1
1,1,1,14,1,1,1
1,1,1,6,1,1,1
1,8,6,13,1,1,1
1,15,1,6,1,14,1
1,1,1,16,1,1,1
1,8,3,10,1,1,1
1,8,6,12,1,1,1
1,1,3,12,1,1,1
1,8,2,5,1,1,1
1,1,4,9,1,1,1
1,8,6,12,1,1,1
1,14,1,10,1,1,1
1,1,1,14,1,1,1
1,8,1,14,1,1,1
1,1,1,15,1,1,1
1,1,2,12,1,1,1
1,9,1,12,1,1,1
1,1,5,12,1,1,1
1,1,6,15,1,1,1
1,16,1,9,1,1,1
1,1,3,10,1,1,1
1,1,3,12,1,1,1
1,8,5,16,1,1,1
1,1,4,11,1,1,1
1,8,1,11,1,1,1
1,1,1,9,1,1,1
1,1,1,12,1,1,1
1,1,1,2,1,1,1
1,1,1,6,1,1,1
1,8,1,16,1,1,1
1,1,1,16,1,1,1
1,14,1,16,1,1,1
1,1,1,16,1,1,1
1,1,1,9,1,1,1
1,8,2,10,1,1,1
1,1,3,10,1,1,1
1,12,1,3,0,1,1
1,1,1,14,1,1,1
1,1,1,12,1,1,1
1,1,2,12,1,1,1
1,8,5,16,1,1,1
1,8,2,14,1,1,1
1,8,1,15,1,1,1
3,12,1,4,1,1,1
1,8,3,10,1,1,1
1,12,1,12,1,3,1
1,14,1,10,1,1,1
1,12,1,6,1,1,1
1,8,2,13,1,1,1
1,8,1,12,1,1,1
1,13,1,3,0,1,1
1,8,2,11,1,1,1
1,1,1,14,1,1,1
1,12,1,16,1,1,1
1,1,2,12,1,1,1
1,1,5,16,1,1,1
1,4,1,12,1,3,1
1,14,1,16,1,1,1
1,15,1,17,0,14,1
1,12,1,15,1,12,1
1,9,3,5,1,1,1
1,8,2,11,1,1,1
1,9,2,9,1,1,1
1,14,1,10,1,1,1
1,8,3,12,1,1,1
1,12,1,6,1,1,1
1,8,4,5,1,1,1
1,1,1,11,1,1,1
1,1,1,3,0,1,1
1,12,1,9,1,1,1
1,16,1,16,1,1,1
1,1,4,12,1,1,1
1,12,1,17,0,15,1
1,9,6,12,1,1,1
1,4,1,7,1,3,1
1,1,1,16,1,1,1
1,12,1,12,1,1,1
1,1,1,6,1,1,1
1,1,4,10,1,1,1
1,1,4,12,1,1,1
1,15,1,10,1,14,1
1,8,2,10,1,1,1
1,1,1,10,1,1,1
1,1,2,12,1,1,1
1,1,4,15,1,1,1
1,1,1,6,1,1,1
1,12,1,11,1,12,1
1,1,2,12,1,1,1
1,1,1,12,1,1,1
1,14,1,8,1,1,1
1,12,1,17,0,1,1
1,14,1,15,1,1,1
1,12,1,13,1,15,1
1,9,1,9,1,1,1
1,12,1,3,0,1,1
1,12,1,3,0,1,1
1,8,1,6,1,1,1
1,1,1,9,1,1,1
2,1,4,16,1,1,1
1,1,3,11,1,1,1
1,16,1,12,1,1,1
1,9,1,12,1,1,1
2,4,1,17,0,17,1
2,4,1,9,1,3,1
1,1,1,10,1,1,1
1,12,2,14,1,1,1
1,14,1,12,1,1,1
1,1,2,11,1,1,1
1,12,1,11,1,3,1
1,1,2,14,1,1,1
1,1,1,11,1,1,1
1,1,1,9,1,1,1
1,1,1,10,1,1,1
1,1,1,16,1,1,1
1,8,2,10,1,1,1
1,1,1,8,1,1,1
1,12,1,6,1,12,1
1,1,3,12,1,1,1
1,7,1,2,1,1,1
1,1,2,9,1,1,1
1,12,1,9,1,1,1
1,1,1,9,1,1,1
1,4,1,12,1,3,1
1,8,3,12,1,1,1
1,15,1,4,1,14,1
1,1,3,11,1,1,1
1,1,1,14,1,1,1
1,1,3,5,1,1,1
1,1,3,15,1,1,1
1,1,1,6,1,1,1
1,1,1,15,1,1,1
1,8,1,9,1,1,1
2,12,1,13,1,12,1
1,8,1,17,0,15,1
1,8,3,5,1,1,1
1,1,1,10,1,1,1
1,14,1,10,1,1,1
1,1,1,11,1,1,1
1,12,1,3,0,1,1
1,14,1,7,1,1,1
1,1,1,10,1,1,1
1,1,1,10,1,1,1
1,1,2,15,1,1,1
1,8,4,12,1,1,1
1,1,2,15,1,1,1
1,1,1,5,1,1,1
1,1,5,12,1,1,1
1,15,1,4,1,14,1
1,1,2,9,1,1,1
1,8,1,9,1,1,1
1,1,1,12,1,1,1
1,1,1,10,1,1,1
1,8,3,12,1,1,1
1,13,1,16,1,1,1
2,4,1,8,1,3,1
1,1,1,12,1,1,1
1,1,1,12,1,1,1
1,7,2,9,1,1,1
4,1,1,3,0,1,1
2,16,1,17,0,1,1
1,1,1,5,1,1,1
1,1,1,3,0,1,1
2,12,1,15,1,9,1
1,8,1,5,1,1,1
1,12,1,3,0,11,1
1,9,2,3,0,1,1
1,12,1,12,1,1,1
1,8,4,6,1,1,1
1,15,1,4,1,14,1
1,15,1,4,1,14,1
1,8,4,10,1,1,1
1,1,1,5,1,1,1
2,1,1,12,1,1,1
1,8,2,15,1,1,1
1,1,1,10,1,1,1
1,8,4,13,1,1,1
1,1,1,12,1,1,1
1,8,4,14,1,1,1
1,1,2,6,1,1,1
1,1,1,12,1,1,1
1,16,1,14,1,1,1
1,8,2,10,1,1,1
1,1,1,14,1,1,1
1,8,4,14,1,1,1
1,12,1,8,1,3,1
1,1,3,6,1,1,1
1,15,1,8,1,14,1
1,16,1,10,1,1,1
1,8,1,16,1,1,1
1,8,2,9,1,1,1
1,8,4,16,1,1,1
1,16,1,9,1,1,1
1,1,1,9,1,1,1
1,1,1,12,1,1,1
1,1,1,12,1,1,1
1,1,1,10,1,1,1
1,8,1,12,1,1,1
1,4,1,6,1,15,1
1,13,1,12,1,1,1
1,1,1,12,1,1,1
1,14,4,9,1,1,1
1,3,3,6,1,1,1
1,1,1,11,1,1,1
1,14,1,12,1,6,1
1,1,1,10,1,1,1
1,1,1,16,1,1,1
1,1,1,6,1,1,1
1,1,1,16,1,1,1
1,15,1,7,1,14,1
1,1,1,10,1,1,1
1,1,1,3,0,1,1
1,1,1,10,1,1,1
1,15,1,10,1,14,1
1,4,1,16,1,15,1
1,1,4,12,1,1,1
1,8,1,10,1,1,1
1,8,1,8,1,1,1
1,1,1,6,1,1,1
1,1,1,2,1,1,1
2,12,1,3,0,1,1
1,12,1,4,1,3,1
1,13,1,9,1,1,1
1,1,1,15,1,1,1
1,14,1,10,1,1,1
4,12,1,17,0,1,1
2,12,1,10,1,1,1
1,1,2,3,0,1,1
1,1,1,11,1,1,1
1,14,1,15,1,1,1
1,1,4,2,1,1,1
2,1,1,12,1,1,1
1,1,1,11,1,1,1
1,8,1,6,1,1,1
1,12,1,12,1,12,1
1,12,1,17,0,1,1
1,12,1,4,1,1,1
1,12,1,6,1,17,1
1,8,4,16,1,1,1
1,1,1,15,1,1,1
1,8,4,9,1,1,1
1,17,1,6,1,16,1
1,1,4,12,1,1,1
1,1,1,6,1,1,1
1,1,4,12,1,1,1
1,8,1,6,1,1,1
1,1,1,16,1,1,1
1,1,6,12,1,1,1
2,14,1,3,0,1,1
4,12,1,17,0,1,1
1,8,1,15,1,1,1
4,12,1,17,0,1,1
2,12,1,6,1,12,1
2,16,1,3,0,12,1
1,9,4,9,1,1,1
1,1,1,12,1,1,1
1,8,1,16,1,1,1
1,15,1,6,1,14,1
4,12,1,12,1,12,1
1,14,1,12,1,1,1
1,1,1,10,1,1,1
1,1,1,16,1,1,1
1,17,1,9,1,16,1
1,1,1,10,1,1,1
1,1,1,16,1,1,1
1,12,1,17,0,3,1
1,8,1,16,1,1,1
1,15,1,3,0,14,1
1,15,1,6,1,14,1
1,12,1,12,1,1,1
1,1,6,15,1,1,1
1,8,2,6,1,1,1
1,8,2,6,1,1,1
1,1,4,12,1,1,1
1,16,1,10,1,1,1
1,15,1,6,1,14,1
1,8,1,14,1,1,1
1,8,1,9,1,1,1
