GRE Score,TOEFL Score,University Rating,SOP,CGPA,class
337,118,4,4.5,9.65,1
324,107,4,4,8.87,1
316,104,3,3,8,1
322,110,3,3.5,8.67,1
314,103,2,2,8.21,1
330,115,5,4.5,9.34,1
321,109,3,3,8.2,1
308,101,2,3,7.9,1
302,102,1,2,8,2
323,108,3,3.5,8.6,2
325,106,3,3.5,8.4,2
327,111,4,4,9,1
328,112,4,4,9.1,1
307,109,3,4,8,2
311,104,3,3.5,8.2,2
314,105,3,3.5,8.3,2
317,107,3,4,8.7,2
319,106,3,4,8,2
318,110,3,4,8.8,2
303,102,3,3.5,8.5,2
312,107,3,3,7.9,2
325,114,4,3,8.4,1
328,116,5,5,9.5,1
334,119,5,5,9.7,1
336,119,5,4,9.8,1
340,120,5,4.5,9.6,1
322,109,5,4.5,8.8,1
298,98,2,1.5,7.5,2
295,93,1,2,7.2,2
310,99,2,1.5,7.3,2
300,97,2,3,8.1,2
327,103,3,4,8.3,1
338,118,4,3,9.4,1
340,114,5,4,9.6,1
331,112,5,4,9.8,1
320,110,5,5,9.2,1
299,106,2,4,8.4,1
300,105,1,1,7.8,2
304,105,1,3,7.5,2
307,108,2,4,7.7,2
308,110,3,3.5,8,2
316,105,2,2.5,8.2,2
313,107,2,2.5,8.5,2
332,117,4,4.5,9.1,1
326,113,5,4.5,9.4,1
322,110,5,5,9.1,1
329,114,5,4,9.3,1
339,119,5,4.5,9.7,1
321,110,3,3.5,8.85,1
327,111,4,3,8.4,1
313,98,3,2.5,8.3,1
312,100,2,1.5,7.9,2
334,116,4,4,8,1
324,112,4,4,8.1,1
322,110,3,3,8,1
320,103,3,3,7.7,2
316,102,3,2,7.4,2
298,99,2,4,7.6,1
300,99,1,3,6.8,3
311,104,2,2,8.3,2
309,100,2,3,8.1,2
307,101,3,4,8.2,2
304,105,2,3,8.2,2
315,107,2,4,8.5,2
325,111,3,3,8.7,2
325,112,4,3.5,8.92,2
327,114,3,3,9.02,2
316,107,2,3.5,8.64,2
318,109,3,3.5,9.22,2
328,115,4,4.5,9.16,1
332,118,5,5,9.64,1
336,112,5,5,9.76,1
321,111,5,5,9.45,1
314,108,4,4.5,9.04,1
314,106,3,3,8.9,1
329,114,2,2,8.56,1
327,112,3,3,8.72,1
301,99,2,3,8.22,2
296,95,2,3,7.54,2
294,93,1,1.5,7.36,2
312,105,3,2,8.02,2
340,120,4,5,9.5,1
320,110,5,5,9.22,1
322,115,5,4,9.36,1
340,115,5,4.5,9.45,1
319,103,4,4.5,8.66,1
315,106,3,4.5,8.42,1
317,107,2,3.5,8.28,2
314,108,3,4.5,8.14,2
316,109,4,4.5,8.76,1
318,106,2,4,7.92,2
299,97,3,5,7.66,3
298,98,2,4,8.03,3
301,97,2,3,7.88,2
303,99,3,2,7.66,2
304,100,4,1.5,7.84,2
306,100,2,3,8,2
331,120,3,4,8.96,1
332,119,4,5,9.24,1
323,113,3,4,8.88,1
322,107,3,3.5,8.46,1
312,105,2,2.5,8.12,2
314,106,2,4,8.25,2
317,104,2,4.5,8.47,2
326,112,3,3.5,9.05,1
316,110,3,4,8.78,1
329,111,4,4.5,9.18,1
338,117,4,3.5,9.46,1
331,116,5,5,9.38,1
304,103,5,5,8.64,1
305,108,5,3,8.48,2
321,109,4,4,8.68,1
301,107,3,3.5,8.34,2
320,110,2,4,8.56,1
311,105,3,3.5,8.45,2
310,106,4,4.5,9.04,2
299,102,3,4,8.62,2
290,104,4,2,7.46,2
296,99,2,3,7.28,2
327,104,5,3,8.84,1
335,117,5,5,9.56,1
